GEOID,year,quarter,N,N_calls_311,lat,lng,N_housing,V1,Estimate_Total.x,prop_rented,prop_male,prop_african_american,prop_under_poverty_level,prop_vacant_houses,prop_stable,racial_index,income_index,age_index,working_class,land,water,Estimate_Total.y,Female,Female_10_to_14_years,Female_10th_grade,Female_11th_grade,Female_12th_grade_no_diploma,Female_15_to_17_years,Female_18_and_19_years,Female_20_years,Female_21_years,Female_22_to_24_years,Female_25_to_29_years,Female_30_to_34_years,Female_35_to_39_years,Female_40_to_44_years,Female_45_to_49_years,Female_5_to_9_years,Female_50_to_54_years,Female_55_to_59_years,Female_5th_and_6th_grade,Female_60_and_61_years,Female_62_to_64_years,Female_65_and_66_years,Female_67_to_69_years,Female_70_to_74_years,Female_75_to_79_years,Female_7th_and_8th_grade,Female_80_to_84_years,Female_85_years_and_over,Female_9th_grade,Female_Associate's_degree,Female_Bachelor's_degree,Female_Doctorate_degree,Female_High_school_graduate_(includes_equivalency),Female_Master's_degree,Female_No_schooling_completed,Female_Nursery_to_4th_grade,Female_Professional_school_degree,Female_Some_college_1_or_more_years_no_degree,Female_Some_college_less_than_1_year,Female_Under_5_years,Hispanic_or_Latino,Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Hispanic_or_Latino_Asian_alone,Hispanic_or_Latino_Black_or_African_American_alone,Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Hispanic_or_Latino_Some_other_race_alone,Hispanic_or_Latino_Two_or_more_races,Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race_and_three_or_more_races,Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,Hispanic_or_Latino_White_alone,Income_in_the_past_12_months_at_or_above_poverty_level,Income_in_the_past_12_months_at_or_above_poverty_level_Female,Income_in_the_past_12_months_at_or_above_poverty_level_Female_In_labor_force,Income_in_the_past_12_months_at_or_above_poverty_level_Female_In_labor_force_Employed,Income_in_the_past_12_months_at_or_above_poverty_level_Female_In_labor_force_Unemployed,Income_in_the_past_12_months_at_or_above_poverty_level_Male,Income_in_the_past_12_months_at_or_above_poverty_level_Male_In_labor_force,Income_in_the_past_12_months_at_or_above_poverty_level_Male_In_labor_force_Employed,Income_in_the_past_12_months_at_or_above_poverty_level_Male_In_labor_force_Unemployed,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Not_in_labor_force,Income_in_the_past_12_months_below_poverty_level,Income_in_the_past_12_months_below_poverty_level_Female,Income_in_the_past_12_months_below_poverty_level_Female_In_labor_force,Income_in_the_past_12_months_below_poverty_level_Female_In_labor_force_Employed,Income_in_the_past_12_months_below_poverty_level_Female_In_labor_force_Unemployed,Income_in_the_past_12_months_below_poverty_level_Female_Not_in_labor_force,Income_in_the_past_12_months_below_poverty_level_Male,Income_in_the_past_12_months_below_poverty_level_Male_In_labor_force,Income_in_the_past_12_months_below_poverty_level_Male_In_labor_force_Employed,Income_in_the_past_12_months_below_poverty_level_Male_In_labor_force_Unemployed,Income_in_the_past_12_months_below_poverty_level_Male_Not_in_labor_force,Male,Male_10_to_14_years,Male_10th_grade,Male_11th_grade,Male_12th_grade_no_diploma,Male_15_to_17_years,Male_18_and_19_years,Male_20_years,Male_21_years,Male_22_to_24_years,Male_25_to_29_years,Male_30_to_34_years,Male_35_to_39_years,Male_40_to_44_years,Male_45_to_49_years,Male_5_to_9_years,Male_50_to_54_years,Male_55_to_59_years,Male_5th_and_6th_grade,Male_60_and_61_years,Male_62_to_64_years,Male_65_and_66_years,Male_67_to_69_years,Male_70_to_74_years,Male_75_to_79_years,Male_7th_and_8th_grade,Male_80_to_84_years,Male_85_years_and_over,Male_9th_grade,Male_Associate's_degree,Male_Bachelor's_degree,Male_Doctorate_degree,Male_High_school_graduate_(includes_equivalency),Male_Master's_degree,Male_No_schooling_completed,Male_Nursery_to_4th_grade,Male_Professional_school_degree,Male_Some_college_1_or_more_years_no_degree,Male_Some_college_less_than_1_year,Male_Under_5_years,Moved_from_abroad,Moved_from_abroad_Female,Moved_from_abroad_Male,Moved_from_different_county_within_same_state,Moved_from_different_county_within_same_state_Female,Moved_from_different_county_within_same_state_Male,Moved_from_different_state,Moved_from_different_state_Female,Moved_from_different_state_Male,Moved_within_same_county,Moved_within_same_county_Female,Moved_within_same_county_Male,Not_Hispanic_or_Latino,Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Not_Hispanic_or_Latino_Asian_alone,Not_Hispanic_or_Latino_Black_or_African_American_alone,Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Not_Hispanic_or_Latino_Some_other_race_alone,Not_Hispanic_or_Latino_Two_or_more_races,Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race_and_three_or_more_races,Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,Not_Hispanic_or_Latino_White_alone,Owner_occupied,Renter_occupied,Same_house_1_year_ago,Same_house_1_year_ago_Female,Same_house_1_year_ago_Male,With_income,With_income_1_to_9999_or_loss,With_income_10000_to_14999,With_income_15000_to_24999,With_income_25000_to_34999,With_income_35000_to_49999,With_income_50000_to_64999,With_income_65000_to_74999,With_income_75000_or_more,N_theft,N_robbery,N_assualt,N_vehicle_theft,N_burglary,NAME
6075010100,2015,4,718,390,37.80420135,-122.4141786,1,7,3798,0.350996098,0.541337546,0.882043181,0.844138661,0.131033066,0.258557135,0.060031596,1839.184738,546.73,0.515534492,776482,646925,3798,1742,20,0,0,12,0,8,37,34,94,138,179,187,131,133,15,24,89,127,26,83,32,69,88,118,0,73,132,0,14,419,49,175,276,117,14,51,237,11,32,448,0,0,0,0,47,64,37,27,337,2972,1411,777,743,34,1561,1358,1323,35,203,578,264,10,0,10,254,314,112,75,37,202,1811,37,0,0,14,27,34,28,0,247,230,344,151,202,115,70,102,24,33,57,70,53,19,63,64,0,59,13,0,142,415,80,116,278,33,0,179,259,17,47,299,131,168,175,42,133,246,0,246,233,85,148,3350,0,1284,53,0,9,217,168,49,1787,638,3160,2816,1469,1347,3214,532,341,537,205,343,184,142,930,312,18,38,12,15,"Census Tract 101, San Francisco County, California"
6075010100,2017,3,958,837,37.80488387,-122.4133184,1,9,3967,0.349458484,0.482480464,0.929921855,0.864906044,0.065523466,0.201159566,0.080413411,2032.224889,500.6,0.495084447,776482,646925,3967,2053,29,0,0,22,27,13,0,6,76,176,265,221,134,229,19,35,72,187,17,127,24,5,196,148,26,12,159,26,44,423,50,200,373,126,0,39,261,43,63,278,0,0,0,0,184,0,0,0,94,3133,1627,995,952,43,1506,1217,1189,28,289,500,315,25,19,6,290,185,140,105,35,45,1711,90,0,0,38,49,28,0,0,155,174,391,102,94,129,64,211,35,75,29,51,49,18,62,66,15,82,15,0,95,595,42,153,291,0,0,85,119,0,20,276,140,136,170,55,115,180,12,168,135,50,85,3689,0,1549,135,0,5,139,87,52,1861,363,3604,3169,1779,1390,3442,674,271,454,268,297,216,127,1135,509,4,41,19,23,"Census Tract 101, San Francisco County, California"
6075010200,2010,2,170,161,37.80509302,-122.4229772,1,11,4184,0.362643013,0.473948375,0.885038241,0.950764818,0.438359686,0.17375717,0.106118547,2667.206779,747.13,0.352294455,515572,295388,4184,2201,0,0,12,7,0,0,0,0,67,259,206,295,239,119,82,27,160,0,38,132,50,36,91,126,12,122,63,0,91,883,24,184,464,16,0,119,126,25,89,481,0,0,15,0,72,158,82,76,236,3715,1862,1251,1207,44,1853,1481,1369,112,372,198,168,109,109,0,59,30,7,7,0,23,1887,0,0,0,0,50,18,0,0,45,260,171,220,247,198,23,40,168,0,109,79,33,35,81,57,0,55,38,32,22,725,72,47,384,0,0,256,234,19,56,17,0,17,145,52,93,82,68,14,468,240,228,3703,0,385,41,0,0,84,84,0,3193,1705,2479,3457,1826,1631,3659,239,172,222,446,395,322,232,1631,70,2,20,7,19,"Census Tract 102, San Francisco County, California"
6075010200,2010,2,170,161,37.80120672,-122.4234531,1,11,4184,0.362643013,0.473948375,0.885038241,0.950764818,0.438359686,0.17375717,0.106118547,2667.206779,747.13,0.352294455,515572,295388,4184,2201,0,0,12,7,0,0,0,0,67,259,206,295,239,119,82,27,160,0,38,132,50,36,91,126,12,122,63,0,91,883,24,184,464,16,0,119,126,25,89,481,0,0,15,0,72,158,82,76,236,3715,1862,1251,1207,44,1853,1481,1369,112,372,198,168,109,109,0,59,30,7,7,0,23,1887,0,0,0,0,50,18,0,0,45,260,171,220,247,198,23,40,168,0,109,79,33,35,81,57,0,55,38,32,22,725,72,47,384,0,0,256,234,19,56,17,0,17,145,52,93,82,68,14,468,240,228,3703,0,385,41,0,0,84,84,0,3193,1705,2479,3457,1826,1631,3659,239,172,222,446,395,322,232,1631,70,2,20,7,19,"Census Tract 102, San Francisco County, California"
6075010200,2010,4,276,154,37.80182844,-122.4222212,1,11,4184,0.362643013,0.473948375,0.885038241,0.950764818,0.438359686,0.17375717,0.106118547,2667.206779,747.13,0.352294455,515572,295388,4184,2201,0,0,12,7,0,0,0,0,67,259,206,295,239,119,82,27,160,0,38,132,50,36,91,126,12,122,63,0,91,883,24,184,464,16,0,119,126,25,89,481,0,0,15,0,72,158,82,76,236,3715,1862,1251,1207,44,1853,1481,1369,112,372,198,168,109,109,0,59,30,7,7,0,23,1887,0,0,0,0,50,18,0,0,45,260,171,220,247,198,23,40,168,0,109,79,33,35,81,57,0,55,38,32,22,725,72,47,384,0,0,256,234,19,56,17,0,17,145,52,93,82,68,14,468,240,228,3703,0,385,41,0,0,84,84,0,3193,1705,2479,3457,1826,1631,3659,239,172,222,446,395,322,232,1631,133,4,14,5,16,"Census Tract 102, San Francisco County, California"
6075010200,2011,1,263,169,37.8049729,-122.4204703,1,12,4128,0.361029693,0.447916667,0.902616279,0.947189922,0.412896648,0.175629845,0.106104651,2610.638236,708.93,0.334544574,515572,295388,4128,2279,0,0,14,3,0,10,0,0,87,328,222,285,213,150,58,39,173,0,42,142,40,64,99,136,15,51,51,0,130,881,46,129,488,18,0,172,131,8,89,402,0,0,0,0,62,166,72,94,174,3632,1987,1391,1321,70,1645,1349,1235,114,296,209,145,120,120,0,25,64,23,23,0,41,1716.5,0,0,0,0,64,23,0,0,64,223,244,169,193,220,52,37,175,0,60,49,40,58,57,24,0,12,23,0,12,675,99,13,279,0,0,253,230,23,62,17,0,17,128,53,75,137,91,46,423,230,193,3726,0,382,44,0,0,38,38,0,3262,1620,2507,3403,1896,1507,3594,229,137,221,440,354,211,338,1664,111,3,18,8,12,"Census Tract 102, San Francisco County, California"
6075010200,2011,1,263,169,37.80242981,-122.4184837,1,12,4128,0.361029693,0.447916667,0.902616279,0.947189922,0.412896648,0.175629845,0.106104651,2610.638236,708.93,0.334544574,515572,295388,4128,2279,0,0,14,3,0,10,0,0,87,328,222,285,213,150,58,39,173,0,42,142,40,64,99,136,15,51,51,0,130,881,46,129,488,18,0,172,131,8,89,402,0,0,0,0,62,166,72,94,174,3632,1987,1391,1321,70,1645,1349,1235,114,296,209,145,120,120,0,25,64,23,23,0,41,1716.5,0,0,0,0,64,23,0,0,64,223,244,169,193,220,52,37,175,0,60,49,40,58,57,24,0,12,23,0,12,675,99,13,279,0,0,253,230,23,62,17,0,17,128,53,75,137,91,46,423,230,193,3726,0,382,44,0,0,38,38,0,3262,1620,2507,3403,1896,1507,3594,229,137,221,440,354,211,338,1664,111,3,18,8,12,"Census Tract 102, San Francisco County, California"
6075010200,2011,3,188,179,37.80135881,-122.4223699,1,12,4128,0.361029693,0.447916667,0.902616279,0.947189922,0.412896648,0.175629845,0.106104651,2610.638236,708.93,0.334544574,515572,295388,4128,2279,0,0,14,3,0,10,0,0,87,328,222,285,213,150,58,39,173,0,42,142,40,64,99,136,15,51,51,0,130,881,46,129,488,18,0,172,131,8,89,402,0,0,0,0,62,166,72,94,174,3632,1987,1391,1321,70,1645,1349,1235,114,296,209,145,120,120,0,25,64,23,23,0,41,1716.5,0,0,0,0,64,23,0,0,64,223,244,169,193,220,52,37,175,0,60,49,40,58,57,24,0,12,23,0,12,675,99,13,279,0,0,253,230,23,62,17,0,17,128,53,75,137,91,46,423,230,193,3726,0,382,44,0,0,38,38,0,3262,1620,2507,3403,1896,1507,3594,229,137,221,440,354,211,338,1664,57,2,10,10,13,"Census Tract 102, San Francisco County, California"
6075010200,2012,2,179,231,37.8018891,-122.4224359,1,13,4040,0.356307223,0.450742574,0.913613861,0.942079208,0.383265514,0.197277228,0.09480198,2525.785422,651.63,0.324009901,515572,295388,4040,2219,8,0,14,10,0,29,0,0,59,323,242,260,167,206,60,20,90,0,24,140,33,96,93,117,17,108,46,0,98,857,55,134,458,14,0,130,170,8,98,349,0,0,0,0,64,137,62,75,148,3543,1882,1289,1219,70,1661,1397,1309,88,264,226,171,138,138,0,33,55,23,23,0,32,1732,0,0,0,0,10,0,0,0,63,214,268,194,152,301,30,58,114,0,36,48,56,67,72,24,0,25,14,0,7,663,88,11,396,0,0,238,226,14,75,14,0,14,110,44,66,200,87,113,441,203,238,3691,0,354,45,0,0,110,110,0,3182,1507,2531,3243,1872,1371,3583,251,127,199,350,382,186,266,1822,70,4,11,11,9,"Census Tract 102, San Francisco County, California"
6075010200,2012,3,243,232,37.80326066,-122.4229956,2,13,4040,0.356307223,0.450742574,0.913613861,0.942079208,0.383265514,0.197277228,0.09480198,2525.785422,651.63,0.324009901,515572,295388,4040,2219,8,0,14,10,0,29,0,0,59,323,242,260,167,206,60,20,90,0,24,140,33,96,93,117,17,108,46,0,98,857,55,134,458,14,0,130,170,8,98,349,0,0,0,0,64,137,62,75,148,3543,1882,1289,1219,70,1661,1397,1309,88,264,226,171,138,138,0,33,55,23,23,0,32,1732,0,0,0,0,10,0,0,0,63,214,268,194,152,301,30,58,114,0,36,48,56,67,72,24,0,25,14,0,7,663,88,11,396,0,0,238,226,14,75,14,0,14,110,44,66,200,87,113,441,203,238,3691,0,354,45,0,0,110,110,0,3182,1507,2531,3243,1872,1371,3583,251,127,199,350,382,186,266,1822,101,3,6,10,10,"Census Tract 102, San Francisco County, California"
