GEOID,crime,rank,NAME,rank_assault,rank_burg,rank_rob,rank_theft,rank_vehicle_theft
6075017601,63809,1,"Census Tract 176.01, San Francisco County, California",1,2,1,2,2
6075018000,51599,2,"Census Tract 180, San Francisco County, California",2,4,5,1,10
6075061500,42959,3,"Census Tract 615, San Francisco County, California",5,3,4,3,3
6075061500,42959,3,"Census Tract 615.00, San Francisco County, California",96,132,69.5,44,180
6075020100,31168,4,"Census Tract 201, San Francisco County, California",3,8,2,11,9
6075011700,30549,5,"Census Tract 117, San Francisco County, California",12,1,7,4,17
6075012402,28366,6,"Census Tract 124.02, San Francisco County, California",6,23,6,8,19
6075012501,24882,7,"Census Tract 125.01, San Francisco County, California",4,20.5,3,18,129.5
6075017802,22033,8,"Census Tract 178.02, San Francisco County, California",14,6,20,6,6
6075017700,21497,9,"Census Tract 177, San Francisco County, California",9,5,11,7,1
6075010100,19433,10,"Census Tract 101, San Francisco County, California",21,11,21,5,31.5
6075012401,19103,11,"Census Tract 124.01, San Francisco County, California",7,65.5,9,50,155.5
6075020800,17446,12,"Census Tract 208, San Francisco County, California",11,25,8,17,14.5
6075012502,14688,13,"Census Tract 125.02, San Francisco County, California",10,149.5,13,69,157.5
6075980300,13954,14,"Census Tract 9803, San Francisco County, California",54,160,46,10,29
6075016600,13056,15,"Census Tract 166, San Francisco County, California",37,26,57.5,42,42
6075023200,12825,16,"Census Tract 232, San Francisco County, California",8,29.5,16,85,7
6075060700,12814,17,"Census Tract 607, San Francisco County, California",27.5,10,61,14,27
6075012301,12522,18,"Census Tract 123.01, San Francisco County, California",15,42,14,23,91.5
6075061200,12225,19,"Census Tract 612, San Francisco County, California",18,62,30,96,20
6075010500,12042,20,"Census Tract 105, San Francisco County, California",52,12,44,9,71
6075012202,11558,21,"Census Tract 122.02, San Francisco County, California",17,63.5,12,28,78
6075980900,11522,22,"Census Tract 9809, San Francisco County, California",32,7,32,33,4
6075020900,10614,23,"Census Tract 209, San Francisco County, California",16,72,10,48,48
6075011100,10557,24,"Census Tract 111, San Francisco County, California",36,14,33,21,31.5
6075015900,10327,25,"Census Tract 159, San Francisco County, California",43,34,18,13,93
6075020600,10124,26,"Census Tract 206, San Francisco County, California",29,19,19,32,14.5
6075022801,9906,27,"Census Tract 228.01, San Francisco County, California",41,32.5,38,40.5,8
6075016100,9738,28,"Census Tract 161, San Francisco County, California",23,75.5,31,35,37
6075010200,9558,29,"Census Tract 102, San Francisco County, California",72,13,59,12,50
6075022802,9556,30,"Census Tract 228.02, San Francisco County, California",27.5,125,119.5,83,129.5
6075012000,9206,31,"Census Tract 120, San Francisco County, California",35,29.5,34,24,95
6075061400,9149,32,"Census Tract 614, San Francisco County, California",22,9,29,47,11
6075012302,9041,33,"Census Tract 123.02, San Francisco County, California",30,50,24,27,139.5
6075012201,8372,34,"Census Tract 122.01, San Francisco County, California",24,68,15,57,136.5
6075023103,8317,35,"Census Tract 231.03, San Francisco County, California",13,36.5,49,130.5,69
6075020200,8242,36,"Census Tract 202, San Francisco County, California",33,40,39,34,24
